137262	270.0	240.0	207.0	90.0
137272	270.0	240.0	207.0	88.0
137282	270.0	240.0	207.0	87.0
137292	270.0	240.0	207.0	86.0
137302	270.0	240.0	207.0	86.0
137312	270.0	240.0	207.0	85.0
137322	270.0	270.0	207.0	76.0
137332	270.0	270.0	207.0	76.0
137341	270.0	270.0	207.0	75.0
137352	270.0	270.0	207.0	75.0
137362	300.0	300.0	207.0	84.0
137372	300.0	300.0	207.0	82.0
137381	300.0	300.0	207.0	81.0
137392	300.0	300.0	207.0	80.0
137402	300.0	300.0	207.0	79.0
137412	300.0	300.0	207.0	78.0
137422	300.0	300.0	207.0	78.0
137432	330.0	300.0	207.0	95.0
137442	330.0	300.0	207.0	93.0
137452	330.0	330.0	207.0	82.0
137462	330.0	330.0	207.0	81.0
137472	330.0	330.0	207.0	80.0
137482	0.0	0.0	207.0	87.0
137492	0.0	0.0	207.0	85.0
137502	0.0	0.0	207.0	84.0
137512	0.0	0.0	207.0	82.0
137522	0.0	0.0	207.0	81.0
137532	0.0	30.0	207.0	77.0
137542	0.0	30.0	207.0	76.0
137552	0.0	30.0	207.0	76.0
137562	0.0	30.0	207.0	76.0
137572	30.0	30.0	207.0	87.0
137582	30.0	30.0	207.0	85.0
137592	30.0	30.0	207.0	83.0
137603	60.0	60.0	207.0	90.0
137612	60.0	90.0	207.0	85.0
137622	60.0	90.0	207.0	83.0
137632	60.0	90.0	207.0	81.0
137643	60.0	90.0	207.0	80.0
137652	60.0	90.0	207.0	79.0
137662	60.0	90.0	207.0	78.0
137672	60.0	90.0	207.0	78.0
137682	90.0	120.0	207.0	85.0
137692	90.0	120.0	207.0	83.0
137702	90.0	120.0	207.0	82.0
137712	120.0	150.0	207.0	89.0
137722	120.0	150.0	207.0	86.0
137733	120.0	150.0	207.0	84.0
137742	120.0	150.0	207.0	82.0
137752	120.0	150.0	207.0	81.0
137762	120.0	150.0	207.0	80.0
137773	120.0	180.0	207.0	76.0
137782	120.0	180.0	207.0	75.0
137792	150.0	180.0	207.0	87.0
137802	150.0	180.0	207.0	84.0
137812	150.0	210.0	207.0	79.0
137823	150.0	210.0	207.0	78.0
137832	150.0	210.0	207.0	78.0
137842	180.0	210.0	207.0	88.0
137852	180.0	240.0	207.0	83.0
137863	180.0	240.0	207.0	81.0
137872	180.0	240.0	207.0	80.0
137882	180.0	240.0	207.0	79.0
137892	180.0	240.0	207.0	78.0
137903	210.0	240.0	207.0	88.0
137912	210.0	240.0	207.0	86.0
137922	210.0	240.0	207.0	84.0
137932	210.0	270.0	207.0	79.0
137943	210.0	270.0	207.0	78.0
137953	210.0	270.0	207.0	77.0
137962	210.0	270.0	207.0	77.0
137972	210.0	300.0	207.0	73.0
137982	240.0	300.0	207.0	84.0
137993	240.0	300.0	207.0	82.0
138002	240.0	300.0	207.0	81.0
138012	240.0	300.0	207.0	80.0
138022	270.0	300.0	207.0	90.0
138033	270.0	300.0	207.0	87.0
138042	270.0	300.0	207.0	85.0
138052	270.0	330.0	207.0	80.0
138062	270.0	330.0	207.0	79.0
138073	270.0	330.0	207.0	78.0
138083	270.0	0.0	207.0	74.0
138092	270.0	0.0	207.0	74.0
138102	300.0	0.0	207.0	85.0
138113	300.0	0.0	207.0	83.0
138123	300.0	0.0	207.0	81.0
138132	300.0	30.0	207.0	77.0
138142	300.0	30.0	207.0	76.0
138152	300.0	30.0	207.0	75.0
138163	330.0	30.0	207.0	86.0
138173	330.0	30.0	207.0	84.0
138182	330.0	30.0	207.0	82.0
138192	330.0	30.0	207.0	81.0
138203	0.0	60.0	207.0	88.0
138213	0.0	90.0	207.0	82.0
138222	0.0	90.0	207.0	80.0
138232	0.0	90.0	207.0	79.0
138243	0.0	90.0	207.0	78.0
138253	0.0	90.0	207.0	77.0
138263	0.0	90.0	207.0	76.0
138272	0.0	120.0	207.0	72.0
138283	30.0	120.0	207.0	84.0
138293	30.0	120.0	207.0	82.0
138303	30.0	150.0	207.0	77.0
138312	60.0	150.0	207.0	87.0
138322	60.0	150.0	207.0	85.0
138333	60.0	150.0	207.0	83.0
138343	60.0	150.0	207.0	81.0
138352	60.0	180.0	207.0	76.0
138362	60.0	180.0	207.0	75.0
138373	60.0	180.0	207.0	75.0
138383	90.0	180.0	207.0	86.0
138393	90.0	180.0	207.0	83.0
138402	90.0	210.0	207.0	78.0
138413	120.0	210.0	207.0	89.0
138423	120.0	210.0	207.0	86.0
138433	120.0	210.0	207.0	83.0
138442	120.0	240.0	207.0	78.0
138452	120.0	240.0	207.0	77.0
138463	120.0	240.0	207.0	76.0
138473	120.0	240.0	207.0	75.0
138483	150.0	240.0	207.0	86.0
138492	150.0	240.0	207.0	84.0
138503	150.0	240.0	207.0	82.0
138513	150.0	270.0	207.0	77.0
138523	150.0	270.0	207.0	76.0
138532	150.0	270.0	207.0	75.0
138543	180.0	270.0	207.0	86.0
138553	180.0	300.0	207.0	80.0
138563	180.0	300.0	207.0	79.0
138573	180.0	300.0	207.0	78.0
138583	180.0	300.0	207.0	76.0
138593	180.0	300.0	207.0	76.0
138603	210.0	300.0	207.0	86.0
138613	210.0	300.0	207.0	84.0
138622	210.0	330.0	207.0	79.0
138633	210.0	330.0	207.0	77.0
138643	210.0	330.0	207.0	76.0
138653	210.0	0.0	207.0	72.0
138663	210.0	0.0	207.0	72.0
138673	210.0	0.0	207.0	72.0
138683	240.0	0.0	207.0	83.0
138693	240.0	0.0	207.0	81.0
138703	240.0	30.0	207.0	76.0
138713	240.0	30.0	207.0	75.0
138723	270.0	30.0	207.0	86.0
138733	270.0	30.0	207.0	83.0
138743	270.0	30.0	207.0	81.0
138753	270.0	30.0	207.0	79.0
138763	270.0	60.0	207.0	78.0
138773	270.0	90.0	207.0	71.0
138783	270.0	90.0	207.0	70.0
138793	270.0	90.0	207.0	70.0
138803	270.0	90.0	207.0	70.0
138813	300.0	90.0	207.0	82.0
138823	300.0	90.0	207.0	80.0
138833	300.0	90.0	207.0	78.0
138843	300.0	120.0	207.0	73.0
138853	300.0	120.0	207.0	73.0
138863	300.0	150.0	207.0	69.0
138873	300.0	150.0	207.0	69.0
138884	330.0	150.0	207.0	80.0
138893	330.0	150.0	207.0	78.0
138903	330.0	150.0	207.0	77.0
138913	330.0	150.0	207.0	76.0
138924	330.0	180.0	207.0	71.0
138933	0.0	180.0	207.0	82.0
138943	0.0	180.0	207.0	80.0
138953	0.0	180.0	207.0	78.0
138963	0.0	210.0	207.0	73.0
138973	0.0	210.0	207.0	73.0
138983	0.0	210.0	207.0	72.0
138993	0.0	210.0	207.0	71.0
139003	0.0	240.0	207.0	68.0
139014	0.0	240.0	207.0	68.0
139023	30.0	240.0	207.0	79.0
139033	30.0	240.0	207.0	77.0
139043	30.0	240.0	207.0	76.0
139054	30.0	240.0	207.0	74.0
139063	60.0	240.0	207.0	85.0
139073	60.0	270.0	207.0	79.0
139083	60.0	270.0	207.0	77.0
139094	60.0	270.0	207.0	76.0
139104	60.0	270.0	207.0	74.0
139113	60.0	300.0	207.0	70.0
139123	60.0	300.0	207.0	70.0
139133	60.0	300.0	207.0	69.0
139144	60.0	300.0	207.0	69.0
139153	90.0	300.0	207.0	80.0
139163	90.0	300.0	207.0	78.0
139173	90.0	300.0	207.0	76.0
139184	90.0	300.0	207.0	75.0
139194	120.0	330.0	207.0	82.0
139203	120.0	330.0	207.0	80.0
139213	120.0	330.0	207.0	78.0
